006  00333 |Loss: 0.001 | Acc: 100.000% 
006  00334 |Loss: 0.001 | Acc: 100.000% 
006  00335 |Loss: 0.001 | Acc: 100.000% 
006  00336 |Loss: 0.001 | Acc: 100.000% 
006  00337 |Loss: 0.001 | Acc: 100.000% 
006  00338 |Loss: 0.001 | Acc: 100.000% 
006  00339 |Loss: 0.001 | Acc: 100.000% 
006  00340 |Loss: 0.001 | Acc: 100.000% 
006  00341 |Loss: 0.001 | Acc: 100.000% 
006  00342 |Loss: 0.001 | Acc: 100.000% 
007  00343 |Loss: 0.000 | Acc: 100.000% 
007  00344 |Loss: 0.000 | Acc: 100.000% 
007  00345 |Loss: 0.000 | Acc: 100.000% 
007  00346 |Loss: 0.000 | Acc: 100.000% 
007  00347 |Loss: 0.000 | Acc: 100.000% 
007  00348 |Loss: 0.000 | Acc: 100.000% 
007  00349 |Loss: 0.000 | Acc: 100.000% 
007  00350 |Loss: 0.000 | Acc: 100.000% 
007  00351 |Loss: 0.000 | Acc: 100.000% 
